,acc_phone_accelerometerAccelerationX(G),acc_phone_accelerometerAccelerationY(G),acc_phone_accelerometerAccelerationZ(G),gyr_phone_gyroRotationX(rad/s),gyr_phone_gyroRotationY(rad/s),gyr_phone_gyroRotationZ(rad/s),mag_phone_motionMagneticFieldX,mag_phone_motionMagneticFieldY,mag_phone_motionMagneticFieldZ,press_phone_altimeterPressure(kPa)
2017-06-07 09:18:14.351,-0.011837005750000001,2.6702999999999991e-05,-0.99060821524999998,-0.01093687025,-0.00347096425,0.0040471395,3.59517669675,15.3505058275,-35.88069916,100.5507
2017-06-07 09:18:14.601,-0.011547088499999998,-0.00041198724999999992,-0.99071884174999991,-0.01173801575,-0.00347136375,0.004051134,3.6139297485,15.4444122325,-35.99230194,100.5507
2017-06-07 09:18:14.851,-0.011112213249999999,-0.0011825562500000001,-0.99145507825000001,-0.0101357915,-0.00373668125,0.00404274475,3.68896484375,15.4447860725,-35.9174957275,100.5507
2017-06-07 09:18:15.101,-0.011331176600000001,-0.00014343960000000002,-0.99153137220000009,-0.0121666514,-0.0040564736,0.0036792636,3.5129455566,15.72497864,-35.741741944,100.55134
2017-06-07 09:18:15.351,-0.011783600000000002,-0.00017547600000000009,-0.99114990250000001,-0.010670887,-0.004268781,0.0037780935,3.5205078125,15.7999916075,-35.68851471,100.5515
2017-06-07 09:18:15.601,-0.011608124000000001,-0.00051498424999999999,-0.99246597275000004,-0.009869209,-0.005599363,0.00403861725,3.61411285425,15.5192527775,-35.69155121,100.5515
2017-06-07 09:18:15.851,-0.0110588075,-0.00022888199999999999,-0.99069595350000006,-0.01147130025,-0.0048018125,0.00404780475,3.426750183,15.72442627,-35.59529114,100.5521
2017-06-07 09:18:16.101,-0.011165619000000002,-0.00017929075000000007,-0.99131774900000003,-0.0104053035,-0.003203383,0.00324532825,3.38930511475,15.61162567,-35.408813475,100.5539
2017-06-07 09:18:16.351,-0.01200485225,-0.00060273249999999998,-0.99213409424999999,-0.01147229875,-0.00533364575,0.0037804905,3.29564666775,15.7798538225,-35.388160705,100.5539
2017-06-07 09:18:16.601,-0.011309814200000001,-1.5259000000000035e-05,-0.99129028320000001,-0.0113115638,-0.0046950466,0.0038872564,3.6030944826,15.770352172,-35.50151367,100.5539
2017-06-07 09:18:16.851,-0.011398315249999999,-0.00097656275000000009,-0.99150848375,-0.011471966,-0.00400306375,0.00378248775,3.52058410625,15.743644715,-35.4828262325,100.5539
2017-06-07 09:18:17.101,-0.01143646225,0.000846863,-0.99098968499999995,-0.0106673585,-0.0040042625,0.00484455625,3.5768356325,15.6876602175,-35.40853119,100.5539
2017-06-07 09:18:17.351,-0.0116271972,-0.0010986326000000002,-0.99186401360000009,-0.0117395868,-0.004907833,0.0036758546,3.6180236818,15.680444338,-35.532452392,100.5539
2017-06-07 09:18:17.601,-0.01129531875,-0.0003128055000000001,-0.99131774925000005,-0.012275708,-0.00400226525,0.00298693475,3.48293304425,15.5934944175,-35.6154937725,100.5539
2017-06-07 09:18:17.851,-0.011413573999999999,-0.00067520124999999992,-0.99226379374999996,-0.01067102,-0.0048010135,0.0037772945,3.445526123,15.66822815,-35.50213623,100.5527
2017-06-07 09:18:18.101,-0.011486053250000001,-0.0013275147499999999,-0.99160766574999992,-0.011470368,-0.0045360955,0.0043147205,3.520591736,15.8936920175,-35.593826295,100.5523
2017-06-07 09:18:18.351,-0.011775970499999998,-0.00077056849999999997,-0.99124908450000004,-0.010135991,-0.00453503025,0.0040415465,3.3517456055,15.7427940375,-35.6511611925,100.5523
2017-06-07 09:18:18.601,-0.011581421,-0.00053405740000000003,-0.9910705566000001,-0.0104583934,-0.0046939814,0.00345657,3.4381408692,15.919473266,-35.559613036,100.5523
2017-06-07 09:18:18.851,-0.011283874499999999,-0.0008888247499999999,-0.99107360850000004,-0.0106700215,-0.00426918025,0.00404460925,3.483100891,15.799713135,-35.5384063725,100.5497
2017-06-07 09:18:19.101,-0.011631012,-0.00076294824999999992,-0.99125671400000004,-0.01066922275,-0.00453569625,0.0043107255,3.46421051025,15.612125395,-35.5777511625,100.5497
2017-06-07 09:18:19.351,-0.011505126750000001,-0.00064468400000000008,-0.99131011950000003,-0.01120684825,-0.00480048075,0.003246926,3.48294067375,15.6497612,-35.6524124175,100.5497
2017-06-07 09:18:19.601,-0.01128005975,-9.9183750000000014e-05,-0.99147415174999998,-0.01093860125,-0.0034701655,0.00351410775,3.61411285375,15.5755462675,-35.7659835825,100.5497
2017-06-07 09:18:19.851,-0.01126709,-0.001675415,-0.9914031980000001,-0.0113136408,-0.0046940878,0.0032476184,3.542883301,15.575128174,-35.71331177,100.549
2017-06-07 09:18:20.101,-0.011585235499999999,0.00015640275000000002,-0.99133682249999999,-0.010669156,-0.00426958,0.004311125,3.65155792225,15.4820137025,-35.7857666025,100.549
2017-06-07 09:18:20.351,-0.01083374025,-0.00118637075,-0.99149322500000003,-0.01040030975,-0.0040041295,0.00484322475,3.57654571525,15.4816055275,-35.8043212875,100.549
2017-06-07 09:18:20.601,-0.011764526249999999,0.00010299674999999999,-0.99131011975000005,-0.01120571625,-0.00373641475,0.00351504,3.3514785765,15.49918747,-35.93484497,100.548975
2017-06-07 09:18:20.851,-0.011600494249999999,-0.00052642800000000001,-0.99087142950000007,-0.0112057165,-0.003736415,0.00351503975,3.53914642325,15.631385805,-35.76522827,100.5489
2017-06-07 09:18:21.101,-0.0115295412,-0.00048828100000000002,-0.99151916500000004,-0.0108863632,-0.0046938746,0.003245488,3.3478393554,15.559094236,-35.787994384,100.5489
2017-06-07 09:18:21.351,-0.012195586999999999,0.00020217875000000003,-0.99102401725000011,-0.01066902275,-0.003737347,0.004311924,3.65159606925,15.5757637,-35.7848281875,100.5489
2017-06-07 09:18:21.601,-0.011302948,-0.00066757225000000004,-0.99102401750000002,-0.01200539725,-0.004802079,0.00405046825,3.57640838625,15.369182585,-35.955451965,100.5489
2017-06-07 09:18:21.851,-0.01143646225,-0.00051879900000000002,-0.99240875250000005,-0.01120651525,-0.003469899,0.00324892325,3.6141433715,15.70681381,-35.8021698,100.5489
2017-06-07 09:18:22.101,-0.011749267749999999,-0.00030136999999999997,-0.99169921875,-0.0106692225,-0.00453569625,0.00431072575,3.4264450075,15.424613955,-35.9545288125,100.5489
